article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
100041105,BOXING FURTHER SUCCESS FOR MICKEY ANLEZARK,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1946-10-29,Article,517,Y,0,https://nla.gov.au/nla.news-article100041105,http://trove.nla.gov.au/newspaper/page/10626637
100041471,Church Leader's Visit. PUBLIC WELCOME.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1946-05-17,Article,642,N,0,https://nla.gov.au/nla.news-article100041471,http://trove.nla.gov.au/newspaper/page/10626296
100041567,Church of Christ,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1945-12-21,Article,291,N,0,https://nla.gov.au/nla.news-article100041567,http://trove.nla.gov.au/newspaper/page/10626062
100041608,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1945-12-21,Family Notices,1492,N,3,https://nla.gov.au/nla.news-article100041608,http://trove.nla.gov.au/newspaper/page/10626065
100041956,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),2,1943-11-16,Family Notices,470,N,2,https://nla.gov.au/nla.news-article100041956,http://trove.nla.gov.au/newspaper/page/10624853
100042341,The Pit Horse Derby. MONDAY NIGHT NEXT,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1943-11-19,Article,1421,N,0,https://nla.gov.au/nla.news-article100042341,http://trove.nla.gov.au/newspaper/page/10624858
100042409,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),2,1943-07-23,Family Notices,964,N,1,https://nla.gov.au/nla.news-article100042409,http://trove.nla.gov.au/newspaper/page/10624687
100042512,Advertising,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1943-07-23,Advertising,238,N,0,https://nla.gov.au/nla.news-article100042512,http://trove.nla.gov.au/newspaper/page/10624689
100042682,WESTON FROLIC,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1944-08-11,"Detailed lists, results, guides",246,N,0,https://nla.gov.au/nla.news-article100042682,http://trove.nla.gov.au/newspaper/page/10625237
100042690,Advertising,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1944-08-11,Advertising,714,N,0,https://nla.gov.au/nla.news-article100042690,http://trove.nla.gov.au/newspaper/page/10625237
100042798,PERSONAL ITEMS,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1944-09-01,Article,2025,N,0,https://nla.gov.au/nla.news-article100042798,http://trove.nla.gov.au/newspaper/page/10625268
100042925,KURRI RED CROSS CONCERT.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1943-06-25,Article,219,N,0,https://nla.gov.au/nla.news-article100042925,http://trove.nla.gov.au/newspaper/page/10624644
100043166,ABERDARE RED CROSS,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),5,1944-03-17,Article,202,N,0,https://nla.gov.au/nla.news-article100043166,http://trove.nla.gov.au/newspaper/page/10625017
100043298,Cessnock High School Leaving Certificate Examination.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1944-01-14,"Detailed lists, results, guides",337,N,0,https://nla.gov.au/nla.news-article100043298,http://trove.nla.gov.au/newspaper/page/10624925
100043317,Vacation Swimming School,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1944-01-14,"Detailed lists, results, guides",616,N,0,https://nla.gov.au/nla.news-article100043317,http://trove.nla.gov.au/newspaper/page/10624926
100043477,Hospital Patients,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1943-04-27,Article,342,N,1,https://nla.gov.au/nla.news-article100043477,http://trove.nla.gov.au/newspaper/page/10624560
100044248,Intermediate Examination Results GOOD PASSES AT CESSNOCK HIGH.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1944-01-25,"Detailed lists, results, guides",1802,N,1,https://nla.gov.au/nla.news-article100044248,http://trove.nla.gov.au/newspaper/page/10624941
100044380,VICTORIA PARK RACES. Weights For Meeting Held at Moorefield on Saturday. TRIAL STAKES. 1¼ miles To Start at 1.15 p.m.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),6,1944-07-28,"Detailed lists, results, guides",623,N,0,https://nla.gov.au/nla.news-article100044380,http://trove.nla.gov.au/newspaper/page/10625215
100044387,PERSONAL ITEMS,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1944-07-28,Article,2339,N,3,https://nla.gov.au/nla.news-article100044387,http://trove.nla.gov.au/newspaper/page/10625212
100044410,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),2,1944-07-28,Family Notices,794,N,0,https://nla.gov.au/nla.news-article100044410,http://trove.nla.gov.au/newspaper/page/10625211
100044488,High School v. Staff Cricket Match,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1944-12-12,Article,490,N,0,https://nla.gov.au/nla.news-article100044488,http://trove.nla.gov.au/newspaper/page/10625445
100044576,PERSONAL,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1943-02-23,Article,1278,N,2,https://nla.gov.au/nla.news-article100044576,http://trove.nla.gov.au/newspaper/page/10624472
100044617,SOUTH CESSNOCK FROLIC,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1943-10-29,"Detailed lists, results, guides",244,N,0,https://nla.gov.au/nla.news-article100044617,http://trove.nla.gov.au/newspaper/page/10624828
100044961,PERSONAL,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1943-10-12,Article,1094,N,3,https://nla.gov.au/nla.news-article100044961,http://trove.nla.gov.au/newspaper/page/10624804
100045123,PERSONAL,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1944-06-13,Article,1395,N,1,https://nla.gov.au/nla.news-article100045123,http://trove.nla.gov.au/newspaper/page/10625142
100045273,"Kurri P.S.A,A.A. ANNUAL SPORTS",429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),5,1944-10-03,"Detailed lists, results, guides",1274,N,0,https://nla.gov.au/nla.news-article100045273,http://trove.nla.gov.au/newspaper/page/10625320
100046157,KURRI FROLIC FOR RED CROSS.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1943-11-05,Article,264,N,0,https://nla.gov.au/nla.news-article100046157,http://trove.nla.gov.au/newspaper/page/10624839
100046701,RUGBY LEAGUE NORTH SYDNEY TEAM HERE ON SUNDAY.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1944-08-25,Article,945,N,0,https://nla.gov.au/nla.news-article100046701,http://trove.nla.gov.au/newspaper/page/10625259
100046791,KURRI SCHOOL ACTIVITIES,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1944-03-14,Article,197,N,0,https://nla.gov.au/nla.news-article100046791,http://trove.nla.gov.au/newspaper/page/10625011
100047326,CARNIVAL IN GERMAN PRISON CAMP.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),2,1944-11-10,Article,169,N,0,https://nla.gov.au/nla.news-article100047326,http://trove.nla.gov.au/newspaper/page/10625387
10004737,Advertising,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",13,1906-06-30,Advertising,11112,N,0,https://nla.gov.au/nla.news-article10004737,http://trove.nla.gov.au/newspaper/page/344684
100047520,HOSPITAL PATIENTS,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1944-11-28,Article,395,N,1,https://nla.gov.au/nla.news-article100047520,http://trove.nla.gov.au/newspaper/page/10625418
100047718,POKOLBIN RED CROSS,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),6,1943-09-17,"Detailed lists, results, guides",181,N,0,https://nla.gov.au/nla.news-article100047718,http://trove.nla.gov.au/newspaper/page/10624771
100047881,VACATION SWIMMING SCHOOL.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1943-01-15,"Detailed lists, results, guides",598,N,0,https://nla.gov.au/nla.news-article100047881,http://trove.nla.gov.au/newspaper/page/10624417
100048367,WHAT HAPPENS IN ENGLAND.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1943-06-11,Article,67,N,0,https://nla.gov.au/nla.news-article100048367,http://trove.nla.gov.au/newspaper/page/10624626
100048452,Advertising,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1943-12-17,Advertising,503,N,0,https://nla.gov.au/nla.news-article100048452,http://trove.nla.gov.au/newspaper/page/10624899
100048543,High School Cricket,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1944-11-07,Article,220,N,0,https://nla.gov.au/nla.news-article100048543,http://trove.nla.gov.au/newspaper/page/10625385
100048546,HOSPITAL PATIENTS,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1944-11-07,Article,436,N,2,https://nla.gov.au/nla.news-article100048546,http://trove.nla.gov.au/newspaper/page/10625382
100048750,High School Cricket,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1944-10-17,"Detailed lists, results, guides",643,N,0,https://nla.gov.au/nla.news-article100048750,http://trove.nla.gov.au/newspaper/page/10625347
100049029,Kurri Mothers' Club. ANNUAL FROLIC.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1944-11-14,"Detailed lists, results, guides",185,N,0,https://nla.gov.au/nla.news-article100049029,http://trove.nla.gov.au/newspaper/page/10625394
100049349,BABY SHOW AND DRESSED DOLL COMPETITION.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1943-11-23,Article,272,N,0,https://nla.gov.au/nla.news-article100049349,http://trove.nla.gov.au/newspaper/page/10624865
100049364,Advertising,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),2,1943-11-23,Advertising,232,N,0,https://nla.gov.au/nla.news-article100049364,http://trove.nla.gov.au/newspaper/page/10624863
